path_current	path_target	boundary_from	boundary_to	rationale	ref_updates_required
docs/README.md	docs/README.md	B0-Foundation	B0-Foundation	Retain root gateway as cross-boundary navigation hub	rg -l 'docs/(agent-guidance|data|development|quick-start|VISION|curriculum-guide)' docs README.md .agent | xargs sed-update
docs/agent-guidance/README.md	docs/governance/README.md	B1-Governance	B1-Governance	Make governance boundary explicit in path	rg -l 'docs/agent-guidance/README.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/ai-agent-guide.md	docs/governance/ai-agent-guide.md	B1-Governance	B1-Governance	Co-locate agent governance guidance	rg -l 'docs/agent-guidance/ai-agent-guide.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/curriculum-tools-guidance-and-playbooks.md	docs/governance/curriculum-tools-guidance-and-playbooks.md	B1-Governance	B1-Governance	Keep deterministic guidance policies in governance area	rg -l 'docs/agent-guidance/curriculum-tools-guidance-and-playbooks.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/development-practice.md	docs/governance/development-practice.md	B1-Governance	B1-Governance	Align development rules docs with governance boundary	rg -l 'docs/agent-guidance/development-practice.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/logging-guidance.md	docs/governance/logging-guidance.md	B1-Governance	B1-Governance	Consolidate operational policy guidance under governance	rg -l 'docs/agent-guidance/logging-guidance.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/safety-and-security.md	docs/governance/safety-and-security.md	B1-Governance	B1-Governance	Place safety policy in governance namespace	rg -l 'docs/agent-guidance/safety-and-security.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/typescript-practice.md	docs/governance/typescript-practice.md	B1-Governance	B1-Governance	Keep language policy docs together	rg -l 'docs/agent-guidance/typescript-practice.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/understanding-agent-references.md	docs/governance/understanding-agent-references.md	B1-Governance	B1-Governance	Keep agent-reference process docs co-located	rg -l 'docs/agent-guidance/understanding-agent-references.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/curriculum-guide.md	docs/domain/curriculum-guide.md	B3-Domain-Data	B3-Domain-Data	Domain semantics should live under explicit domain boundary	rg -l 'docs/curriculum-guide.md' docs .agent README.md | xargs sed-update
docs/data/README.md	docs/domain/README.md	B3-Domain-Data	B3-Domain-Data	Create single domain index and reduce split ownership	rg -l 'docs/data/README.md|docs/data/' docs .agent README.md | xargs sed-update
docs/data/DATA-VARIANCES.md	docs/domain/DATA-VARIANCES.md	B3-Domain-Data	B3-Domain-Data	Co-locate high-value domain variance reference with domain guide	rg -l 'docs/data/DATA-VARIANCES.md|docs/data/' docs .agent README.md | xargs sed-update
docs/development/README.md	docs/engineering/README.md	B4-Engineering-Operations	B4-Engineering-Operations	Split engineering from operations for clearer ownership	rg -l 'docs/development/README.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/build-system.md	docs/engineering/build-system.md	B4-Engineering-Operations	B4-Engineering-Operations	Build and task graph guidance belongs to engineering boundary	rg -l 'docs/development/build-system.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/ci-policy.md	docs/engineering/ci-policy.md	B4-Engineering-Operations	B4-Engineering-Operations	CI governance for engineering workflow should be co-located	rg -l 'docs/development/ci-policy.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/extending.md	docs/engineering/extending.md	B4-Engineering-Operations	B4-Engineering-Operations	Extension patterns are engineering guidance	rg -l 'docs/development/extending.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/testing-patterns.md	docs/engineering/testing-patterns.md	B4-Engineering-Operations	B4-Engineering-Operations	Testing patterns are engineering methods	rg -l 'docs/development/testing-patterns.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/tooling.md	docs/engineering/tooling.md	B4-Engineering-Operations	B4-Engineering-Operations	Toolchain guidance belongs with engineering docs	rg -l 'docs/development/tooling.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/workflow.md	docs/engineering/workflow.md	B4-Engineering-Operations	B4-Engineering-Operations	Lifecycle workflow docs should sit with engineering practices	rg -l 'docs/development/workflow.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/release-and-publishing.md	docs/engineering/release-and-publishing.md	B4-Engineering-Operations	B4-Engineering-Operations	Release mechanics are engineering process documentation	rg -l 'docs/development/release-and-publishing.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/environment-variables.md	docs/operations/environment-variables.md	B4-Engineering-Operations	B4-Engineering-Operations	Runtime configuration belongs in operations boundary	rg -l 'docs/development/environment-variables.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/production-debugging-runbook.md	docs/operations/production-debugging-runbook.md	B4-Engineering-Operations	B4-Engineering-Operations	Production runbook is operational by nature	rg -l 'docs/development/production-debugging-runbook.md|docs/development/' docs .agent README.md | xargs sed-update
docs/development/troubleshooting.md	docs/operations/troubleshooting.md	B4-Engineering-Operations	B4-Engineering-Operations	Troubleshooting guidance maps to operations support	rg -l 'docs/development/troubleshooting.md|docs/development/' docs .agent README.md | xargs sed-update
docs/VISION.md	docs/foundation/VISION.md	B0-Foundation	B0-Foundation	Move mission/vision docs under explicit foundation boundary	rg -l 'docs/VISION.md' docs .agent README.md | xargs sed-update
docs/quick-start.md	docs/foundation/quick-start.md	B0-Foundation	B0-Foundation	Foundation quick-start should sit with vision/onboarding	rg -l 'docs/quick-start.md' docs .agent README.md | xargs sed-update
docs/development/onboarding.md	docs/foundation/onboarding.md	B4-Engineering-Operations	B0-Foundation	Onboarding is foundational orientation, not engineering-only detail	rg -l 'docs/development/onboarding.md|docs/development/onboarding' docs .agent README.md | xargs sed-update
